iter	Passed	Remaining
0	169	169390
1	172	85952
2	174	57871
3	175	43806
4	178	35477
5	180	29821
6	184	26235
7	186	23176
8	188	20753
9	189	18802
10	191	17240
11	193	15929
12	195	14819
13	199	14075
14	201	13230
15	202	12480
16	206	11932
17	207	11343
18	209	10810
19	210	10330
20	215	10043
21	217	9654
22	218	9289
23	220	8973
24	222	8669
25	223	8389
26	225	8122
27	229	7969
28	231	7741
29	232	7524
30	234	7323
31	235	7133
32	237	6952
33	238	6780
34	240	6621
35	244	6545
36	246	6406
37	247	6274
38	249	6159
39	251	6041
40	253	5925
41	254	5811
42	259	5771
43	260	5670
44	264	5607
45	265	5511
46	267	5418
47	268	5328
48	270	5246
49	274	5214
50	276	5136
51	277	5057
52	279	4985
53	280	4915
54	282	4849
55	283	4784
56	285	4722
57	288	4688
58	290	4640
59	292	4579
60	293	4520
61	295	4463
62	296	4407
63	297	4355
64	299	4302
65	308	4359
66	309	4311
67	313	4301
68	317	4279
69	321	4269
70	323	4230
71	324	4187
72	326	4144
73	328	4108
74	331	4082
75	333	4054
76	336	4031
77	337	3991
78	340	3974
79	342	3940
80	344	3904
81	346	3875
82	346	3832
83	348	3804
84	351	3778
85	352	3751
86	354	3720
87	356	3696
88	358	3669
89	362	3667
90	365	3650
91	366	3619
92	368	3597
93	370	3571
94	372	3544
95	373	3520
96	375	3495
97	377	3477
98	379	3454
99	381	3429
100	382	3406
101	384	3387
102	386	3364
103	388	3343
104	392	3343
105	393	3322
106	396	3312
107	398	3294
108	400	3273
109	402	3254
110	404	3236
111	408	3242
112	410	3223
113	411	3200
114	412	3176
115	413	3154
116	414	3130
117	415	3107
118	416	3086
119	417	3063
120	418	3041
121	419	3018
122	423	3018
123	424	2999
124	425	2979
125	426	2960
126	427	2939
127	428	2920
128	429	2901
129	430	2883
130	431	2864
131	432	2846
132	433	2829
133	434	2810
134	438	2811
135	440	2798
136	441	2781
137	442	2764
138	443	2747
139	444	2732
140	445	2716
141	446	2697
142	447	2682
143	448	2666
144	449	2650
145	454	2660
146	456	2650
147	459	2642
148	460	2627
149	461	2613
150	462	2598
151	463	2584
152	464	2569
153	465	2556
154	469	2558
155	470	2546
156	471	2532
157	472	2519
158	473	2506
159	475	2493
160	475	2479
161	476	2466
162	477	2453
163	478	2441
164	479	2428
165	481	2416
166	484	2418
167	486	2407
168	487	2398
169	491	2397
170	496	2405
171	498	2397
172	503	2407
173	505	2398
174	506	2388
175	508	2379
176	514	2390
177	515	2381
178	517	2372
179	518	2363
180	520	2354
181	521	2345
182	523	2336
183	529	2346
184	530	2338
185	532	2329
186	533	2321
187	543	2348
188	545	2342
189	546	2331
190	548	2321
191	549	2310
192	549	2299
193	551	2289
194	556	2295
195	557	2288
196	559	2279
197	560	2269
198	561	2259
199	562	2249
200	563	2239
201	564	2229
202	565	2220
203	569	2221
204	571	2215
205	572	2206
206	573	2197
207	574	2187
208	575	2178
209	576	2169
210	577	2160
211	578	2151
212	579	2142
213	580	2133
214	584	2134
215	586	2130
216	588	2122
217	589	2113
218	590	2104
219	591	2095
220	592	2087
221	593	2078
222	594	2070
223	595	2061
224	596	2055
225	601	2058
226	603	2055
227	604	2047
228	605	2039
229	606	2031
230	607	2023
231	608	2015
232	610	2008
233	611	2000
234	612	1993
235	617	1997
236	619	1995
237	621	1988
238	622	1980
239	623	1973
240	624	1965
241	625	1958
242	626	1951
243	627	1943
244	633	1953
245	636	1951
246	637	1944
247	638	1937
248	639	1929
249	640	1922
250	641	1915
251	642	1908
252	646	1910
253	650	1910
254	653	1909
255	654	1902
256	655	1896
257	657	1889
258	658	1883
259	659	1876
260	665	1883
261	667	1880
262	668	1874
263	669	1867
264	670	1860
265	671	1853
266	672	1847
267	674	1841
268	679	1845
269	681	1842
270	682	1836
271	683	1830
272	684	1823
273	685	1817
274	686	1811
275	687	1804
276	689	1798
277	690	1792
278	694	1793
279	696	1790
280	697	1785
281	699	1780
282	700	1774
283	701	1767
284	702	1762
285	703	1756
286	704	1750
287	705	1744
288	709	1745
289	710	1740
290	711	1734
291	712	1728
292	714	1722
293	715	1718
294	716	1712
295	717	1707
296	718	1701
297	719	1696
298	721	1690
299	724	1691
300	726	1686
301	727	1680
302	728	1675
303	729	1669
304	730	1664
305	731	1658
306	732	1653
307	733	1648
308	734	1642
309	736	1638
310	739	1638
311	741	1635
312	743	1631
313	746	1629
314	747	1624
315	748	1619
316	749	1614
317	750	1608
318	751	1603
319	752	1598
320	755	1599
321	757	1594
322	758	1589
323	759	1584
324	760	1579
325	761	1574
326	762	1569
327	763	1564
328	764	1559
329	765	1554
330	766	1549
331	770	1549
332	771	1545
333	773	1541
334	774	1536
335	775	1531
336	776	1527
337	777	1522
338	778	1518
339	779	1513
340	780	1508
341	781	1503
342	785	1503
343	786	1500
344	787	1495
345	788	1491
346	790	1486
347	791	1482
348	792	1477
349	793	1472
350	793	1467
351	794	1463
352	795	1458
353	796	1454
354	800	1454
355	801	1450
356	802	1446
357	804	1441
358	805	1437
359	806	1433
360	807	1429
361	808	1424
362	809	1420
363	810	1416
364	811	1412
365	812	1407
366	816	1408
367	817	1404
368	818	1400
369	819	1396
370	820	1391
371	821	1387
372	822	1383
373	823	1378
374	825	1375
375	826	1370
376	827	1366
377	828	1362
378	832	1363
379	833	1359
380	834	1355
381	835	1351
382	836	1347
383	837	1343
384	838	1339
385	839	1335
386	840	1331
387	841	1327
388	842	1323
389	843	1319
390	847	1320
391	850	1319
392	852	1315
393	853	1311
394	853	1307
395	855	1304
396	856	1300
397	857	1296
398	858	1293
399	862	1293
400	863	1290
401	865	1287
402	866	1284
403	868	1280
404	869	1277
405	871	1274
406	872	1271
407	874	1268
408	878	1270
409	882	1269
410	883	1266
411	885	1263
412	886	1260
413	888	1257
414	889	1253
415	893	1254
416	895	1251
417	896	1248
418	898	1245
419	899	1242
420	900	1238
421	902	1235
422	904	1234
423	919	1249
424	932	1261
425	933	1258
426	934	1254
427	936	1251
428	937	1247
429	941	1248
430	945	1248
431	951	1251
432	958	1255
433	960	1252
434	962	1249
435	964	1247
436	966	1245
437	971	1246
438	973	1243
439	974	1240
440	976	1237
441	977	1234
442	979	1231
443	980	1228
444	991	1237
445	993	1234
446	995	1230
447	996	1227
448	998	1224
449	1008	1232
450	1010	1229
451	1014	1229
452	1021	1233
453	1023	1230
454	1025	1228
455	1027	1226
456	1029	1223
457	1036	1227
458	1038	1224
459	1040	1220
460	1041	1217
461	1042	1214
462	1045	1212
463	1049	1212
464	1052	1210
465	1057	1211
466	1058	1208
467	1059	1204
468	1061	1201
469	1066	1202
470	1068	1199
471	1069	1196
472	1071	1193
473	1073	1191
474	1075	1189
475	1077	1186
476	1080	1185
477	1087	1187
478	1088	1184
479	1090	1181
480	1091	1178
481	1099	1181
